Ocupação	Tempo	E[N]	E[W]	Erro de Little
6200	0,905232	9,057214	1,806997	8,80487E-11
6300	0,90511	9,036538	1,803212	5,82858E-11
6400	0,904615	9,019411	1,801348	4,98268E-11
6500	0,903925	8,973445	1,793184	4,53682E-11
6600	0,904833	9,018838	1,801257	5,67777E-11
6700	0,904406	8,97759	1,793177	6,55209E-11
6800	0,903654	8,893554	1,778429	7,03064E-11
6900	0,904591	8,996006	1,796946	8,94804E-11
7000	0,904219	9,013793	1,800384	8,65938E-11
7100	0,905161	9,043787	1,808125	9,47669E-11
7200	0,904268	8,993549	1,799698	1,0327E-10
7300	0,903334	8,92527	1,78734	1,10649E-10
7400	0,903731	8,924793	1,786165	5,90301E-11
7500	0,903742	8,883334	1,777985	6,16485E-11
7600	0,903368	8,853383	1,772071	4,90115E-11
7700	0,903545	8,865892	1,774091	1,73301E-11
7800	0,903164	8,822036	1,765446	3,13154E-11
7900	0,90288	8,762472	1,754488	1,75397E-11
8000	0,902872	8,724731	1,746966	1,62359E-12
8100	0,902506	8,736528	1,74958	2,61888E-11
8200	0,903228	8,772006	1,755794	5,2454E-11
8300	0,902964	8,764006	1,754475	5,99414E-11
8400	0,902805	8,73161	1,74857	6,17479E-11
8500	0,903469	8,753379	1,751655	3,23048E-11
8600	0,903995	8,734181	1,747598	5,21467E-11
8700	0,904111	8,701062	1,741456	5,18963E-11
8800	0,904284	8,682116	1,736456	2,57252E-11
8900	0,904543	8,652695	1,731394	4,9349E-11
9000	0,904026	8,596378	1,720481	6,63043E-11
9100	0,903751	8,551728	1,711502	1,06386E-11
9200	0,903967	8,551981	1,710513	2,08509E-11
9300	0,902659	8,500782	1,702494	5,48948E-11
9400	0,903439	8,544217	1,709965	8,43521E-11
9500	0,902622	8,498755	1,70213	7,10774E-11
9600	0,902241	8,457731	1,695176	1,54703E-11
9700	0,901626	8,441722	1,691479	2,97007E-12
9800	0,901887	8,503724	1,704523	4,24372E-12
9900	0,901857	8,485834	1,700971	4,41425E-12
10000	0,901714	8,456059	1,694784	1,21894E-11
10100	0,901595	8,418472	1,687081	1,17559E-11
10200	0,901879	8,649851	1,732975	3,22018E-11
10300	0,901915	8,685562	1,740117	2,37712E-11
10400	0,902374	8,844333	1,771408	2,24869E-11
10500	0,90174	8,792483	1,762183	1,04654E-10
10600	0,900662	8,738079	1,752609	7,8515E-11
10700	0,901447	8,901026	1,78427	1,89235E-10
10800	0,90167	8,887944	1,780886	2,04553E-10
10900	0,901561	8,872192	1,778316	1,21172E-10
11000	0,901416	8,841844	1,772584	1,42101E-10
11100	0,902303	9,097304	1,822633	2,14891E-10
11200	0,90303	9,238243	1,849851	2,82208E-10
11300	0,903888	9,322152	1,864969	2,4477E-10
11400	0,903848	9,275648	1,856415	2,28438E-10
11500	0,903707	9,24801	1,850838	2,39034E-10
11600	0,903538	9,234174	1,848341	1,5053E-10
11700	0,903781	9,246174	1,851237	1,94223E-10
11800	0,903608	9,205033	1,843806	9,44453E-11
11900	0,903505	9,168372	1,836108	4,83542E-11
12000	0,903454	9,142801	1,830965	9,84599E-11
12100	0,903702	9,185812	1,839385	1,18986E-10
12200	0,903782	9,158491	1,833636	1,45155E-10
12300	0,904063	9,195385	1,841021	9,91633E-11
12400	0,903903	9,151218	1,832454	6,71481E-11
12500	0,904115	9,144141	1,830689	6,69811E-11
12600	0,90394	9,108746	1,823686	9,33991E-11
12700	0,903858	9,073134	1,816573	1,4925E-10
12800	0,903984	9,044448	1,809836	1,4963E-10
12900	0,903159	8,997998	1,801879	1,65521E-10
13000	0,903021	8,970559	1,796385	1,22473E-10
13100	0,902981	8,976567	1,798261	6,85194E-11
13200	0,90278	8,960124	1,795822	3,01252E-11
13300	0,903037	8,945073	1,792491	1,44755E-11
13400	0,903242	8,94323	1,791048	3,22533E-11
13500	0,903154	8,911984	1,784967	1,31006E-11
13600	0,903	8,892338	1,780711	4,27676E-11
13700	0,903339	8,883556	1,778953	1,76161E-11
13800	0,903594	8,896208	1,78205	6,14087E-12
13900	0,90338	8,866559	1,775969	4,49685E-11
14000	0,903325	8,861791	1,774966	3,96643E-11
14100	0,903656	8,902971	1,783366	5,68789E-12
14200	0,903406	8,875357	1,777769	1,27898E-12
14300	0,903353	8,851675	1,773401	1,04006E-11
14400	0,90373	8,857473	1,774148	4,65885E-11
14500	0,903624	8,842615	1,771573	9,92539E-11
14600	0,903828	8,818564	1,766524	1,17444E-10
14700	0,903913	8,828425	1,768566	1,71244E-10
14800	0,903854	8,823715	1,767671	1,90269E-10
14900	0,9045	8,928263	1,78785	1,4197E-10
15000	0,904204	8,908918	1,784255	1,91964E-10
15100	0,904651	8,986034	1,799184	2,37474E-10
15200	0,905115	9,017467	1,804823	2,16939E-10
15300	0,905227	9,016029	1,804992	2,68637E-10
15400	0,905387	9,015667	1,804631	3,69422E-10
15500	0,90564	9,010685	1,803335	3,14843E-10
15600	0,905293	8,997858	1,801449	2,9454E-10
15700	0,905295	9,015452	1,804808	1,97796E-10
15800	0,905529	9,018536	1,805139	2,4564E-10
15900	0,905712	9,002814	1,802307	3,70674E-10
16000	0,905701	8,999528	1,801222	2,48574E-10
16100	0,906127	9,037612	1,808168	2,17863E-10
